Route,Direction,Departure,Length,AnimationTime
29,Inbound,5:42:00,1:02:00,12400
29,Inbound,5:52:00,1:04:00,12800
29,Inbound,6:02:00,1:06:00,13200
29,Inbound,6:12:00,1:10:00,14000
29,Inbound,6:20:00,1:11:00,14200
29,Inbound,6:27:00,1:11:00,14200
29,Inbound,6:35:00,1:12:00,14400
29,Inbound,6:43:00,1:15:00,15000
29,Inbound,6:50:00,1:16:00,15200
29,Inbound,6:57:00,1:16:00,15200
29,Inbound,7:05:00,1:17:00,15400
29,Inbound,7:13:00,1:17:00,15400
29,Inbound,7:21:00,1:21:00,16200
29,Inbound,7:29:00,1:21:00,16200
29,Inbound,7:37:00,1:21:00,16200
29,Inbound,7:46:00,1:21:00,16200
29,Inbound,7:54:00,1:21:00,16200
29,Inbound,8:03:00,1:21:00,16200
29,Inbound,8:12:00,1:21:00,16200
29,Inbound,8:22:00,1:21:00,16200
29,Inbound,8:32:00,1:21:00,16200
29,Inbound,8:44:00,1:21:00,16200
29,Inbound,8:58:00,1:21:00,16200
29,Inbound,9:13:00,1:20:00,16000
29,Inbound,9:28:00,1:20:00,16000
29,Inbound,9:43:00,1:20:00,16000
29,Inbound,9:58:00,1:20:00,16000
29,Inbound,10:13:00,1:21:00,16200
29,Inbound,10:28:00,1:22:00,16400
29,Inbound,10:43:00,1:22:00,16400
29,Inbound,10:58:00,1:22:00,16400
29,Inbound,11:13:00,1:22:00,16400
29,Inbound,11:28:00,1:22:00,16400
29,Inbound,11:43:00,1:22:00,16400
29,Inbound,11:58:00,1:22:00,16400
29,Inbound,12:13:00,1:22:00,16400
29,Inbound,12:28:00,1:22:00,16400
29,Inbound,12:43:00,1:22:00,16400
29,Inbound,12:58:00,1:22:00,16400
29,Inbound,13:13:00,1:22:00,16400
29,Inbound,13:26:00,1:22:00,16400
29,Inbound,13:38:00,1:22:00,16400
29,Inbound,13:50:00,1:23:00,16600
29,Inbound,14:00:00,1:23:00,16600
29,Inbound,14:10:00,1:23:00,16600
29,Inbound,14:20:00,1:24:00,16800
29,Inbound,14:30:00,1:25:00,17000
29,Inbound,14:40:00,1:25:00,17000
29,Inbound,14:50:00,1:25:00,17000
29,Inbound,15:00:00,1:26:00,17200
29,Inbound,15:10:00,1:26:00,17200
29,Inbound,15:20:00,1:25:00,17000
29,Inbound,15:30:00,1:25:00,17000
