Route,Direction,AnimationTime,Departure,Length
29,Inbound,6200,5:42:00,1:02:00
29,Inbound,6400,5:52:00,1:04:00
29,Inbound,6600,6:02:00,1:06:00
29,Inbound,7000,6:12:00,1:10:00
29,Inbound,7100,6:20:00,1:11:00
29,Inbound,7200,6:35:00,1:12:00
29,Inbound,7500,6:43:00,1:15:00
29,Inbound,7600,6:50:00,1:16:00
29,Inbound,7700,7:05:00,1:17:00
29,Inbound,8100,7:21:00,1:21:00
29,Inbound,8000,9:13:00,1:20:00
29,Inbound,8200,10:28:00,1:22:00
29,Inbound,8300,13:50:00,1:23:00
29,Inbound,8400,14:20:00,1:24:00
29,Inbound,8500,14:30:00,1:25:00
29,Inbound,8600,15:00:00,1:26:00
29,Inbound,7400,18:55:00,1:14:00
29,Inbound,4900,24:18:00,0:49:00
29,Outbound,5800,5:56:00,0:58:00
29,Outbound,6100,6:15:00,1:01:00
29,Outbound,6500,6:30:00,1:05:00
29,Outbound,6800,6:45:00,1:08:00
29,Outbound,7000,6:57:00,1:10:00
29,Outbound,7200,7:07:00,1:12:00
29,Outbound,7300,7:16:00,1:13:00
29,Outbound,7400,11:34:00,1:14:00
29,Outbound,7500,12:49:00,1:15:00
29,Outbound,7600,14:10:00,1:16:00
29,Outbound,7700,14:37:00,1:17:00
29,Outbound,7800,15:35:00,1:18:00
29,Outbound,7900,16:02:00,1:19:00
29,Outbound,8000,16:22:00,1:20:00
29,Outbound,7100,18:46:00,1:11:00
8x,Inbound,5200,4:43:00,0:52:00
8x,Inbound,5300,5:03:00,0:53:00
8x,Inbound,5400,5:15:00,0:54:00
8x,Inbound,5500,5:27:00,0:55:00
8x,Inbound,5600,5:37:00,0:56:00
8x,Inbound,5700,5:48:00,0:57:00
8x,Inbound,6100,6:08:00,1:01:00
8x,Inbound,6200,6:17:00,1:02:00
8x,Inbound,7000,8:58:00,1:10:00
8x,Inbound,6900,10:53:00,1:09:00
8x,Inbound,7100,13:53:00,1:11:00
8x,Inbound,7200,14:02:00,1:12:00
8x,Inbound,7300,14:19:00,1:13:00
8x,Inbound,7400,14:46:00,1:14:00
8x,Inbound,7500,15:03:00,1:15:00
8x,Inbound,7600,15:19:00,1:16:00
8x,Inbound,7800,15:35:00,1:18:00
8x,Inbound,7900,16:05:00,1:19:00
8x,Inbound,7700,17:06:00,1:17:00
8x,Inbound,6700,19:18:00,1:07:00
8x,Inbound,6500,19:30:00,1:05:00
8x,Inbound,6000,20:10:00,1:00:00
8x,Inbound,5900,20:40:00,0:59:00
8x,Inbound,5000,23:17:00,0:50:00
8x,Inbound,4900,24:12:00,0:49:00
8x,Outbound,5400,5:26:00,0:54:00
8x,Outbound,5600,5:41:00,0:56:00
8x,Outbound,5700,5:55:00,0:57:00
8x,Outbound,5800,6:08:00,0:58:00
8x,Outbound,6000,6:17:00,1:00:00
8x,Outbound,6300,6:25:00,1:03:00
8x,Outbound,6500,6:33:00,1:05:00
8x,Outbound,6700,6:41:00,1:07:00
8x,Outbound,6800,6:49:00,1:08:00
8x,Outbound,7000,6:57:00,1:10:00
8x,Outbound,7100,7:04:00,1:11:00
8x,Outbound,7200,7:12:00,1:12:00
8x,Outbound,7300,12:55:00,1:13:00
8x,Outbound,7400,13:04:00,1:14:00
8x,Outbound,7500,14:07:00,1:15:00
8x,Outbound,7600,14:52:00,1:16:00
8x,Outbound,7700,15:01:00,1:17:00
8x,Outbound,6200,18:53:00,1:02:00
8x,Outbound,6100,19:30:00,1:01:00
8x,Outbound,6400,18:33:00,1:04:00
8x,Outbound,5900,19:20:00,0:59:00
8x,Outbound,5500,20:32:00,0:55:00
8x,Outbound,5300,21:08:00,0:53:00
8x,Outbound,5200,21:20:00,0:52:00
8x,Outbound,5100,22:05:00,0:51:00
8x,Outbound,5000,22:35:00,0:50:00
8x,Outbound,4900,23:05:00,0:49:00
N,Inbound,4500,5:10:00,0:45:00
N,Inbound,4800,5:23:00,0:48:00
N,Inbound,5000,5:59:00,0:50:00
N,Inbound,5200,6:37:00,0:52:00
N,Inbound,5300,6:57:00,0:53:00
N,Inbound,5400,7:31:00,0:54:00
N,Inbound,5100,9:45:00,0:51:00
N,Inbound,6000,20:08:00,1:00:00
N,Inbound,5900,20:34:00,0:59:00
N,Inbound,5800,20:49:00,0:58:00
N,Inbound,5700,21:17:00,0:57:00
N,Inbound,5500,22:02:00,0:55:00
N,Outbound,4600,6:11:00,0:46:00
N,Outbound,4800,6:54:00,0:48:00
N,Outbound,5000,7:13:00,0:50:00
N,Outbound,5200,15:48:00,0:52:00
N,Outbound,5400,16:51:00,0:54:00
N,Outbound,5100,16:05:00,0:51:00
N,Outbound,4700,19:00:00,0:47:00
N,Outbound,4400,20:47:00,0:44:00
M,Inbound,4100,4:24:00,0:41:00
