Route,Direction,NumTrips,FirstBus,LastBus,Min,Max,Avg,Range,RouteDist,AvgSpeed,Rank
29,inbound,74,5:42 AM,12:38 AM,49,86,79,37,13.5,10.2,12
29,outbound,91,5:56 AM,12:12 AM,49,80,70,31,13.5,11.44,5
8x,inbound,105,4:43 AM,12:10 AM,49,79,66,30,11.1,10.02,16
8x,outbound,93,4:43 AM,12:10 AM,51,77,66,26,11.1,9.97,17
N,inbound,115,5:11 AM,12:47 AM,44,54,50,10,8.7,10.35,10
N,outbound,116,6:11 AM,12:47 AM,46,54,49,8,8.7,10.46,8
M,inbound,104,4:24 AM,12:13 AM,40,48,44,8,8.2,10.98,6
M,outbound,104,4:24 AM,12:13 AM,38,45,41,7,8.2,11.77,3
L,inbound,112,4:49 AM,12:26 AM,32,39,36,7,8.1,13.33,1
L,outbound,113,4:50 AM,12:43 AM,34,41,37,7,8.1,12.99,2
14,inbound,104,4:36 AM,4:53 AM,41,62,54,21,7.8,8.59,21
14,outbound,104,5:15 AM,4:56 AM,42,65,55,23,7.8,8.45,22
5,inbound,115,5:00 AM,12:10 AM,35,47,40,12,7.1,10.42,9
5,outbound,115,5:20 AM,12:45 AM,36,46,42,10,7.1,10.02,15
J,inbound,105,4:32 AM,12:18 AM,32,37,34,5,6.7,11.52,4
J,outbound,104,5:09 AM,12:55 AM,32,41,37,9,6.7,10.72,7
38L,inbound,139,6:00 AM,8:06 AM,37,49,46,12,6.6,8.61,20
38L,outbound,137,6:44 AM,8:54 AM,41,47,45,6,6.6,8.65,19
1,inbound,158,5:29 AM,12:22 AM,30,45,41,15,5.8,10.17,13
1,outbound,159,5:25 AM,1:00 AM,30,45,42,15,5.8,10.02,14
30,inbound,99,4:59 AM,12:28 AM,27,48,41,21,4.5,10.27,11
30,outbound,99,5:35 AM,1:00 AM,29,50,43,21,4.5,9.7,18
