Route,Direction,NumTrips,FirstBus,LastBus,Min,Max,Avg,Range,RouteDist,AvgSpeed,Rank
29,inbound,74,5:42 AM,12:38 AM,49 min,86 min,79 min,37 min,13.5,10.2 mph,12
29,outbound,91,5:56 AM,12:12 AM,49 min,80 min,70 min,31 min,13.5,11.44 mph,5
8x,inbound,105,4:43 AM,12:10 AM,49 min,79 min,66 min,30 min,11.1,10.02 mph,16
8x,outbound,93,4:43 AM,12:10 AM,51 min,77 min,66 min,26 min,11.1,9.97 mph,17
N,inbound,115,5:11 AM,12:47 AM,44 min,54 min,50 min,10 min,8.7,10.35 mph,10
N,outbound,116,6:11 AM,12:47 AM,46 min,54 min,49 min,8 min,8.7,10.46 mph,8
M,inbound,104,4:24 AM,12:13 AM,40 min,48 min,44 min,8 min,8.2,10.98 mph,6
M,outbound,104,4:24 AM,12:13 AM,38 min,45 min,41 min,7 min,8.2,11.77 mph,3
L,inbound,112,4:49 AM,12:26 AM,32 min,39 min,36 min,7 min,8.1,13.33 mph,1
L,outbound,113,4:50 AM,12:43 AM,34 min,41 min,37 min,7 min,8.1,12.99 mph,2
14,inbound,104,4:36 AM,4:53 AM,41 min,62 min,54 min,21 min,7.8,8.59 mph,21
14,outbound,104,5:15 AM,4:56 AM,42 min,65 min,55 min,23 min,7.8,8.45 mph,22
5,inbound,115,5:00 AM,12:10 AM,35 min,47 min,40 min,12 min,7.1,10.42 mph,9
5,outbound,115,5:20 AM,12:45 AM,36 min,46 min,42 min,10 min,7.1,10.02 mph,15
J,inbound,105,4:32 AM,12:18 AM,32 min,37 min,34 min,5 min,6.7,11.52 mph,4
J,outbound,104,5:09 AM,12:55 AM,32 min,41 min,37 min,9 min,6.7,10.72 mph,7
38L,inbound,139,6:00 AM,8:06 AM,37 min,49 min,46 min,12 min,6.6,8.61 mph,20
38L,outbound,137,6:44 AM,8:54 AM,41 min,47 min,45 min,6 min,6.6,8.65 mph,19
1,inbound,158,5:29 AM,12:22 AM,30 min,45 min,41 min,15 min,5.8,10.17 mph,13
1,outbound,159,5:25 AM,1:00 AM,30 min,45 min,42 min,15 min,5.8,10.02 mph,14
30,inbound,99,4:59 AM,12:28 AM,27 min,48 min,41 min,21 min,4.5,10.27 mph,11
30,outbound,99,5:35 AM,1:00 AM,29 min,50 min,43 min,21 min,4.5,9.7 mph,18
